;Kompose;Ring;Boucke;Kurpjuweit;EML;ModelBus;KerTheme;CORE;SmartAdapters;MATA;Geko;Bruneliere;I_MMD;Schottle;MEGAF;Openflexo;ThingML;DiNatale;Melange;MPS;Ptolemy;ModHelX;BCOoL;Kermeta
Merge;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
Weaving;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
Extension;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non
Integration;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui
Generalisation;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non
Level;Type;Type;Instance;Type;Type;Type;Type;Hybrid;Type;Instance;Instance;Type;Type;Type;Type;Type;Type;Instance;Type;Type;Instance;Instance;Type;Code
Conformity;Homogeneous;AdHoc;AdHoc;Homogeneous;Heterogeneous;Heterogeneous;AdHoc;Heterogeneous;Homogeneous;Homogeneous;Homogeneous;Homogeneous;Homogeneous;Heterogeneous;Heterogeneous;Heterogeneous;AdHoc;AdHoc;Heterogeneous;Heterogeneous;Heterogeneous;Heterogeneous;Heterogeneous;AdHoc
Role;Flat;Flat;Flat;Flat;Hierarchy;Hierarchy;Hierarchy;Hierarchy;Hierarchy;Hierarchy;Hierarchy;Hierarchy;Hierarchy;Hierarchy;Hierarchy;Hierarchy;Hierarchy;Flat;Hierarchy;Hierarchy;Hierarchy;Hierarchy;Flat;Hierarchy
Arity;Binary;N_ary;N_ary;N_ary;Binary;N_ary;Binary;N_ary;Binary;N_ary;N_ary;Binary;N_ary;Binary;N_ary;N_ary;N_ary;N_ary;N_ary;N_ary;N_ary;N_ary;Binary;N_ary
Automation;80_20;80_20;80_20;20_80;20_80;80_20;80_20;80_20;20_80;80_20;80_20;20_80;80_20;80_20;20_80;20_80;80_20;80_20;80_20;80_20;20_80;20_80;20_80;80_20
Conform;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Oui
Synchronisation;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Oui;Non
Dependency;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non