Approach;Merge;Weaving;Extension;Integration;Generalisation;Level;Conformity;Role;Arity;Automation;Conform;Synchronisation;Dependency
Kompose;Yes;No;No;No;No;Type;Homogeneous;Flat;Binary;High;Yes;No;No
Ring;Yes;No;No;No;No;Type;AdHoc;Flat;Nary;High;No;Yes;No
Boucke;Yes;No;No;No;No;Instance;AdHoc;Flat;Nary;High;Yes;No;No
Kurpjuweit;Yes;No;No;No;No;Type;Homogeneous;Flat;Nary;Low;Yes;No;No
EML;Yes;No;No;No;No;Type;Heterogeneous;Hierarchy;Binary;Low;Yes;No;No
ModelBus;Yes;No;No;No;No;Type;Heterogeneous;Hierarchy;Nary;High;No;Yes;No
KerTheme;Yes;Yes;No;No;No;Type;AdHoc;Hierarchy;Binary;High;No;Yes;No
CORE;No;Yes;No;No;No;Hybrid;Heterogeneous;Hierarchy;Nary;High;No;Yes;Yes
SmartAdapters;No;Yes;No;No;No;Type;Homogeneous;Hierarchy;Binary;Low;Yes;No;No
MATA;No;Yes;No;No;No;Instance;Homogeneous;Hierarchy;Nary;High;Yes;No;No
Geko;No;Yes;No;No;No;Instance;Homogeneous;Hierarchy;Nary;High;Yes;No;No
Bruneliere;No;No;Yes;No;No;Type;Homogeneous;Hierarchy;Binary;Low;Yes;Yes;No
I_MMD;No;No;Yes;No;No;Type;Homogeneous;Hierarchy;Nary;High;Yes;No;No
Schottle;No;No;Yes;No;No;Type;Heterogeneous;Hierarchy;Binary;High;No;Yes;No
MEGAF;No;No;Yes;Yes;No;Type;Heterogeneous;Hierarchy;Nary;Low;No;Yes;No
Openflexo;No;No;No;Yes;No;Type;Heterogeneous;Hierarchy;Nary;Low;No;Yes;No
ThingML;Yes;No;No;No;No;Type;AdHoc;Hierarchy;Nary;High;Yes;No;Yes
DiNatale;Yes;No;No;No;No;Instance;AdHoc;Flat;Nary;High;Yes;No;No
Melange;Yes;No;No;No;Yes;Type;Heterogeneous;Hierarchy;Nary;High;Yes;No;No
MPS;No;No;Yes;No;Yes;Type;Heterogeneous;Hierarchy;Nary;High;Yes;No;Yes
Ptolemy;No;No;Yes;No;No;Instance;Heterogeneous;Hierarchy;Nary;Low;No;Yes;No
ModHelX;No;No;Yes;No;No;Instance;Heterogeneous;Hierarchy;Nary;Low;No;Yes;No
BCOoL;No;No;No;Yes;No;Type;Heterogeneous;Flat;Binary;Low;No;Yes;No
Kermeta;No;No;No;Yes;No;Code;AdHoc;Hierarchy;Nary;High;Yes;No;No